state,district,agro_zone,latitude,longitude,year,scenario,drought_probability,proj_rainfall_mm,proj_temp_c,base_drought_freq,ndvi_class,data_source
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2033,SSP2-4.5,0.4499,693.1,28.25,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2034,SSP2-4.5,0.4434,690.2,28.34,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2035,SSP2-4.5,0.4297,687.4,28.43,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2036,SSP2-4.5,0.4563,684.5,28.53,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2037,SSP2-4.5,0.4863,681.6,28.62,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2038,SSP2-4.5,0.4614,678.8,28.71,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2039,SSP2-4.5,0.5,675.9,28.81,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2040,SSP2-4.5,0.4229,673.0,28.9,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2026,SSP5-8.5,0.4079,711.2,27.64,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2027,SSP5-8.5,0.4048,706.5,27.78,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2028,SSP5-8.5,0.4088,701.7,27.92,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2029,SSP5-8.5,0.4284,696.9,28.06,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2030,SSP5-8.5,0.3987,692.1,28.2,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2031,SSP5-8.5,0.4461,687.4,28.34,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2032,SSP5-8.5,0.4698,682.6,28.48,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2033,SSP5-8.5,0.5045,677.8,28.62,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2034,SSP5-8.5,0.477,673.0,28.76,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2035,SSP5-8.5,0.4837,668.3,28.9,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2036,SSP5-8.5,0.5025,663.5,29.04,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2037,SSP5-8.5,0.5436,658.7,29.18,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2038,SSP5-8.5,0.5448,653.9,29.32,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2039,SSP5-8.5,0.5406,649.2,29.46,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2040,SSP5-8.5,0.5746,644.4,29.6,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2026,SSP2-4.5,0.256,983.1,27.59,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2027,SSP2-4.5,0.2774,979.1,27.69,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2028,SSP2-4.5,0.2481,975.2,27.78,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2029,SSP2-4.5,0.2596,971.2,27.87,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2030,SSP2-4.5,0.2625,967.3,27.97,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2031,SSP2-4.5,0.2452,963.3,28.06,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2032,SSP2-4.5,0.2845,959.4,28.15,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2033,SSP2-4.5,0.288,955.4,28.25,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2034,SSP2-4.5,0.2871,951.5,28.34,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2035,SSP2-4.5,0.2865,947.5,28.43,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2036,SSP2-4.5,0.2671,943.6,28.53,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2037,SSP2-4.5,0.2913,939.6,28.62,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2038,SSP2-4.5,0.2972,935.7,28.71,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2039,SSP2-4.5,0.2923,931.7,28.81,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2040,SSP2-4.5,0.3095,927.8,28.9,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2026,SSP5-8.5,0.2656,980.4,27.64,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2027,SSP5-8.5,0.3029,973.8,27.78,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2028,SSP5-8.5,0.2763,967.3,27.92,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2029,SSP5-8.5,0.2858,960.7,28.06,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2030,SSP5-8.5,0.287,954.1,28.2,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2031,SSP5-8.5,0.258,947.5,28.34,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2032,SSP5-8.5,0.3039,940.9,28.48,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2033,SSP5-8.5,0.3137,934.4,28.62,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2034,SSP5-8.5,0.3699,927.8,28.76,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2035,SSP5-8.5,0.325,921.2,28.9,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2036,SSP5-8.5,0.3432,914.6,29.04,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2037,SSP5-8.5,0.3449,908.0,29.18,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2038,SSP5-8.5,0.3307,901.5,29.32,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2039,SSP5-8.5,0.3855,894.9,29.46,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Nellore,Southern AP,14.4426,79.9865,2040,SSP5-8.5,0.3863,888.3,29.6,0.25,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2026,SSP2-4.5,0.3003,900.4,27.59,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2027,SSP2-4.5,0.2708,896.8,27.69,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2028,SSP2-4.5,0.3216,893.2,27.78,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2029,SSP2-4.5,0.2701,889.5,27.87,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2030,SSP2-4.5,0.3145,885.9,27.97,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2031,SSP2-4.5,0.3512,882.3,28.06,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2032,SSP2-4.5,0.2922,878.7,28.15,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2033,SSP2-4.5,0.3054,875.1,28.25,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2034,SSP2-4.5,0.3234,871.5,28.34,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2035,SSP2-4.5,0.3161,867.8,28.43,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2036,SSP2-4.5,0.2999,864.2,28.53,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2037,SSP2-4.5,0.3371,860.6,28.62,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2038,SSP2-4.5,0.3193,857.0,28.71,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2039,SSP2-4.5,0.3548,853.4,28.81,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2040,SSP2-4.5,0.3318,849.8,28.9,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2026,SSP5-8.5,0.3194,898.0,27.64,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2027,SSP5-8.5,0.2813,891.9,27.78,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2028,SSP5-8.5,0.2992,885.9,27.92,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2029,SSP5-8.5,0.3306,879.9,28.06,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2030,SSP5-8.5,0.2985,873.9,28.2,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2031,SSP5-8.5,0.3365,867.8,28.34,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2032,SSP5-8.5,0.3671,861.8,28.48,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2033,SSP5-8.5,0.3178,855.8,28.62,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2034,SSP5-8.5,0.3628,849.8,28.76,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2035,SSP5-8.5,0.3736,843.7,28.9,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2036,SSP5-8.5,0.3933,837.7,29.04,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2037,SSP5-8.5,0.3623,831.7,29.18,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2038,SSP5-8.5,0.3702,825.7,29.32,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2039,SSP5-8.5,0.4166,819.6,29.46,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Guntur,Coastal AP,16.3067,80.4365,2040,SSP5-8.5,0.4217,813.6,29.6,0.28,moderate,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Krishna,Coastal AP,16.61,80.7214,2026,SSP2-4.5,0.2082,1037.8,27.59,0.2,good,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Krishna,Coastal AP,16.61,80.7214,2027,SSP2-4.5,0.2134,1033.7,27.69,0.2,good,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Krishna,Coastal AP,16.61,80.7214,2028,SSP2-4.5,0.1961,1029.5,27.78,0.2,good,NASA POWER baseline + IPCC AR6 SSP rates
